---------------------------------
| Contestant  #  | Overall Time |
| Contestant 236 | 176.36381207 |
| Contestant 649 | 176.37214590 |
| Contestant 196 | 176.65630180 |
| Contestant 001 | 176.71751722 |
| Contestant 160 | 177.00988605 |
| Contestant 242 | 177.02028995 |
| Contestant 208 | 177.19844116 |
| Contestant 090 | 178.09789340 |
| Contestant 446 | 178.42652859 |
| Contestant 643 | 178.56515173 |
| Contestant 997 | 178.60599063 |
| Contestant 444 | 178.67852695 |
| Contestant 807 | 178.75662155 |
| Contestant 861 | 178.88629826 |
| Contestant 200 | 179.11892256 |
| Contestant 991 | 179.30448593 |
| Contestant 709 | 179.35027796 |
| Contestant 737 | 179.66516546 |
| Contestant 591 | 179.75070473 |
| Contestant 770 | 180.29029294 |
| Contestant 148 | 180.36862476 |
| Contestant 039 | 180.55268545 |
| Contestant 194 | 180.75317419 |
| Contestant 922 | 180.86610249 |
| Contestant 639 | 181.26550868 |
| Contestant 728 | 181.36359787 |
| Contestant 084 | 181.47764729 |
| Contestant 146 | 181.57152668 |
| Contestant 057 | 181.96565357 |
| Contestant 890 | 182.20473633 |
| Contestant 445 | 182.23490801 |
| Contestant 085 | 182.39244219 |
| Contestant 776 | 182.46969871 |
| Contestant 072 | 183.08763507 |
| Contestant 404 | 183.31577598 |
| Contestant 212 | 183.33915508 |
| Contestant 379 | 183.48091141 |
| Contestant 697 | 183.55635909 |
| Contestant 017 | 183.63985424 |
| Contestant 665 | 183.65508195 |
| Contestant 736 | 184.09537198 |
| Contestant 894 | 184.23938461 |
| Contestant 527 | 184.82965274 |
| Contestant 052 | 184.84025267 |
| Contestant 983 | 184.94539255 |
| Contestant 510 | 185.87721300 |
| Contestant 049 | 185.94081344 |
| Contestant 609 | 186.15209320 |
| Contestant 950 | 186.15315526 |
| Contestant 015 | 186.25357378 |
| Contestant 891 | 186.42420141 |
| Contestant 780 | 186.42744777 |
| Contestant 803 | 186.62046793 |
| Contestant 629 | 186.70559888 |
| Contestant 636 | 187.03959953 |
| Contestant 595 | 187.13381477 |
| Contestant 953 | 187.66918130 |
| Contestant 845 | 187.82890107 |
| Contestant 044 | 187.88510773 |
| Contestant 914 | 188.39834542 |
| Contestant 809 | 188.42537794 |
| Contestant 524 | 188.54192302 |
| Contestant 719 | 188.63519754 |
| Contestant 852 | 189.01097996 |
| Contestant 752 | 189.31010430 |
| Contestant 856 | 189.32223736 |
| Contestant 713 | 189.42941677 |
| Contestant 372 | 189.43665405 |
| Contestant 673 | 190.04052535 |
| Contestant 332 | 190.12671223 |
| Contestant 582 | 190.13335191 |
| Contestant 897 | 190.21479838 |
| Contestant 880 | 190.73648863 |
| Contestant 656 | 190.86952776 |
| Contestant 385 | 190.93358899 |
| Contestant 955 | 191.04851679 |
| Contestant 059 | 191.25486704 |
| Contestant 587 | 191.25752162 |
| Contestant 382 | 191.37303214 |
| Contestant 965 | 191.70539168 |
| Contestant 388 | 192.11668913 |
| Contestant 478 | 192.25023415 |
| Contestant 805 | 192.40577403 |
| Contestant 893 | 192.46289176 |
| Contestant 321 | 192.51802649 |
| Contestant 688 | 192.76156622 |
| Contestant 941 | 192.77534466 |
| Contestant 886 | 192.82075199 |
| Contestant 195 | 193.58007139 |
| Contestant 102 | 193.93366089 |
| Contestant 401 | 194.06784783 |
| Contestant 822 | 194.32784571 |
| Contestant 940 | 194.43275282 |
| Contestant 565 | 194.57116184 |
| Contestant 800 | 194.69951678 |
| Contestant 156 | 194.74797016 |
| Contestant 329 | 194.83060952 |
| Contestant 376 | 194.90442410 |
| Contestant 406 | 195.01097193 |
| Contestant 281 | 195.54176627 |
| Contestant 779 | 195.88976010 |
| Contestant 246 | 196.06016135 |
| Contestant 170 | 196.08161264 |
| Contestant 863 | 196.27955631 |
| Contestant 686 | 196.29803601 |
| Contestant 408 | 196.38009612 |
| Contestant 067 | 196.43872634 |
| Contestant 825 | 196.49474418 |
| Contestant 556 | 196.74671701 |
| Contestant 789 | 196.85031837 |
| Contestant 381 | 197.11154990 |
| Contestant 051 | 197.31115082 |
| Contestant 574 | 197.56707665 |
| Contestant 980 | 197.57131463 |
| Contestant 771 | 197.64026713 |
| Contestant 425 | 197.74529410 |
| Contestant 447 | 197.96288235 |
| Contestant 137 | 198.13505500 |
| Contestant 063 | 198.25250613 |
| Contestant 757 | 198.30446512 |
| Contestant 476 | 198.48165943 |
| Contestant 223 | 198.59747677 |
| Contestant 152 | 198.64916751 |
| Contestant 209 | 199.09971724 |
| Contestant 669 | 199.36890985 |
| Contestant 282 | 199.42264501 |
| Contestant 577 | 199.71532023 |
| Contestant 850 | 199.81415023 |
| Contestant 089 | 199.90605068 |
| Contestant 957 | 200.03466319 |
| Contestant 945 | 200.26002517 |
| Contestant 634 | 200.62011409 |
| Contestant 967 | 200.83842671 |
| Contestant 895 | 200.93621285 |
| Contestant 952 | 201.25777392 |
| Contestant 028 | 201.48638620 |
| Contestant 451 | 201.48860069 |
| Contestant 693 | 201.50946372 |
| Contestant 171 | 201.96883557 |
| Contestant 756 | 202.22717939 |
| Contestant 690 | 202.33761728 |
| Contestant 872 | 202.41452443 |
| Contestant 187 | 203.03174527 |
| Contestant 482 | 203.24808341 |
| Contestant 677 | 203.27620095 |
| Contestant 854 | 203.28517115 |
| Contestant 981 | 203.28688045 |
| Contestant 660 | 203.30916514 |
| Contestant 720 | 203.37792058 |
| Contestant 567 | 203.46163021 |
| Contestant 778 | 203.60602902 |
| Contestant 689 | 203.80825856 |
| Contestant 058 | 204.22740209 |
| Contestant 589 | 204.49309583 |
| Contestant 034 | 204.64149461 |
| Contestant 466 | 204.66424202 |
| Contestant 694 | 204.66956272 |
| Contestant 151 | 204.79280496 |
| Contestant 325 | 204.79571386 |
| Contestant 645 | 204.81589906 |
| Contestant 040 | 204.89020469 |
| Contestant 210 | 205.15214103 |
| Contestant 896 | 205.17373737 |
| Contestant 706 | 205.27553747 |
| Contestant 191 | 205.28246245 |
| Contestant 098 | 205.35147145 |
| Contestant 535 | 205.38582400 |
| Contestant 721 | 205.54466809 |
| Contestant 680 | 205.59679021 |
| Contestant 529 | 205.92361852 |
| Contestant 021 | 205.95689670 |
| Contestant 937 | 205.99399848 |
| Contestant 910 | 206.02134140 |
| Contestant 679 | 206.07651972 |
| Contestant 335 | 206.16686754 |
| Contestant 426 | 206.37697361 |
| Contestant 489 | 206.48668967 |
| Contestant 500 | 206.82609157 |
| Contestant 902 | 206.95334146 |
| Contestant 283 | 207.13742095 |
| Contestant 970 | 207.47398404 |
| Contestant 066 | 207.62305069 |
| Contestant 968 | 207.71877445 |
| Contestant 373 | 207.78091609 |
| Contestant 073 | 207.86880708 |
| Contestant 448 | 207.90089123 |
| Contestant 088 | 207.98186826 |
| Contestant 296 | 208.03065971 |
| Contestant 542 | 208.09605966 |
| Contestant 225 | 208.51903441 |
| Contestant 093 | 208.55636693 |
| Contestant 260 | 208.59964202 |
| Contestant 182 | 208.62586608 |
| Contestant 320 | 208.78650487 |
| Contestant 866 | 208.85164083 |
| Contestant 342 | 209.00416549 |
| Contestant 554 | 209.10313043 |
| Contestant 519 | 209.28630787 |
| Contestant 143 | 209.39896728 |
| Contestant 633 | 209.46340872 |
| Contestant 539 | 209.84332201 |
| Contestant 261 | 209.92105287 |
| Contestant 761 | 209.99509920 |
| Contestant 691 | 210.01117647 |
| Contestant 016 | 210.34299975 |
| Contestant 730 | 210.37212832 |
| Contestant 215 | 210.72129702 |
| Contestant 197 | 210.82854614 |
| Contestant 513 | 211.27459617 |
| Contestant 138 | 211.33027416 |
| Contestant 990 | 211.33259758 |
| Contestant 461 | 211.44757550 |
| Contestant 163 | 211.64273331 |
| Contestant 352 | 211.80213438 |
| Contestant 043 | 211.82427678 |
| Contestant 177 | 212.04938011 |
| Contestant 765 | 212.13524627 |
| Contestant 615 | 212.16113546 |
| Contestant 531 | 212.17207912 |
| Contestant 291 | 212.34047740 |
| Contestant 126 | 212.54950556 |
| Contestant 048 | 212.80526569 |
| Contestant 391 | 212.81346999 |
| Contestant 031 | 212.87396705 |
| Contestant 906 | 212.93466963 |
| Contestant 511 | 213.02940343 |
| Contestant 014 | 213.07656823 |
| Contestant 674 | 213.17122407 |
| Contestant 179 | 213.41176691 |
| Contestant 293 | 213.49150633 |
| Contestant 273 | 213.55193393 |
| Contestant 740 | 213.56227149 |
| Contestant 027 | 214.17488918 |
| Contestant 136 | 214.44092314 |
| Contestant 424 | 214.46434872 |
| Contestant 485 | 215.24011803 |
| Contestant 723 | 215.26483633 |
| Contestant 659 | 215.43696114 |
| Contestant 675 | 215.50856605 |
| Contestant 958 | 215.51025389 |
| Contestant 916 | 215.51048949 |
| Contestant 340 | 215.57146007 |
| Contestant 525 | 215.66312461 |
| Contestant 202 | 215.76750301 |
| Contestant 796 | 216.00531856 |
| Contestant 254 | 216.03263536 |
| Contestant 122 | 216.17549430 |
| Contestant 667 | 216.17891687 |
| Contestant 120 | 216.18469318 |
| Contestant 032 | 216.30163350 |
| Contestant 345 | 216.30806514 |
| Contestant 434 | 216.32763980 |
| Contestant 715 | 216.46390180 |
| Contestant 159 | 216.52190874 |
| Contestant 334 | 216.82794161 |
| Contestant 867 | 216.87931330 |
| Contestant 982 | 217.36753683 |
| Contestant 078 | 217.72008250 |
| Contestant 701 | 217.78310080 |
| Contestant 791 | 217.78934221 |
| Contestant 925 | 217.83949263 |
| Contestant 702 | 218.00468235 |
| Contestant 074 | 218.00858097 |
| Contestant 596 | 218.03716760 |
| Contestant 328 | 218.04452276 |
| Contestant 454 | 218.11318436 |
| Contestant 439 | 218.49015841 |
| Contestant 833 | 218.55894412 |
| Contestant 553 | 218.58480087 |
| Contestant 386 | 218.81052184 |
| Contestant 036 | 218.87932796 |
| Contestant 387 | 219.17010717 |
| Contestant 792 | 219.20266881 |
| Contestant 279 | 219.41649992 |
| Contestant 298 | 219.50562259 |
| Contestant 616 | 219.53691337 |
| Contestant 671 | 219.54228044 |
| Contestant 544 | 220.15320698 |
| Contestant 949 | 220.18766200 |
| Contestant 729 | 220.43923708 |
| Contestant 267 | 220.45811540 |
| Contestant 326 | 220.66682519 |
| Contestant 826 | 220.70600103 |
| Contestant 428 | 220.81260450 |
| Contestant 069 | 220.83194322 |
| Contestant 493 | 221.04325837 |
| Contestant 318 | 221.07417977 |
| Contestant 739 | 221.21362683 |
| Contestant 269 | 221.48985901 |
| Contestant 641 | 221.55690047 |
| Contestant 247 | 221.60548592 |
| Contestant 610 | 221.64302356 |
| Contestant 734 | 221.69789899 |
| Contestant 711 | 221.79873377 |
| Contestant 097 | 221.98983468 |
| Contestant 140 | 222.22157865 |
| Contestant 364 | 222.36352230 |
| Contestant 077 | 222.37271013 |
| Contestant 422 | 222.37689389 |
| Contestant 528 | 222.50860843 |
| Contestant 504 | 222.51431124 |
| Contestant 768 | 222.55408951 |
| Contestant 818 | 222.55920802 |
| Contestant 879 | 222.62757732 |
| Contestant 676 | 222.66896486 |
| Contestant 453 | 223.01338433 |
| Contestant 839 | 223.36185842 |
| Contestant 065 | 223.56337030 |
| Contestant 452 | 223.64634164 |
| Contestant 898 | 223.70002443 |
| Contestant 534 | 223.70702378 |
| Contestant 738 | 223.89674937 |
| Contestant 276 | 224.22494262 |
| Contestant 419 | 224.25104368 |
| Contestant 467 | 224.29812165 |
| Contestant 986 | 224.36040002 |
| Contestant 560 | 224.39296822 |
| Contestant 244 | 224.40323654 |
| Contestant 264 | 224.74845226 |
| Contestant 389 | 224.86588369 |
| Contestant 230 | 225.05749295 |
| Contestant 564 | 225.09421683 |
| Contestant 939 | 225.27239019 |
| Contestant 727 | 225.29568701 |
| Contestant 526 | 225.55366767 |
| Contestant 920 | 225.70644319 |
| Contestant 371 | 225.87952577 |
| Contestant 362 | 225.93604158 |
| Contestant 868 | 225.99968080 |
| Contestant 651 | 226.09837951 |
| Contestant 935 | 226.18319145 |
| Contestant 732 | 226.38758525 |
| Contestant 024 | 226.51170478 |
| Contestant 682 | 226.63255549 |
| Contestant 993 | 226.65731647 |
| Contestant 911 | 226.83177135 |
| Contestant 299 | 227.08728625 |
| Contestant 105 | 227.38416769 |
| Contestant 657 | 227.43325127 |
| Contestant 793 | 227.60393492 |
| Contestant 042 | 227.82714276 |
| Contestant 627 | 227.84761795 |
| Contestant 612 | 227.89242643 |
| Contestant 533 | 228.01732998 |
| Contestant 168 | 228.09583543 |
| Contestant 907 | 228.29930903 |
| Contestant 498 | 228.33096768 |
| Contestant 815 | 228.38865982 |
| Contestant 119 | 228.64965234 |
| Contestant 788 | 228.80590693 |
| Contestant 333 | 228.80782850 |
| Contestant 055 | 229.18815619 |
| Contestant 994 | 229.48105292 |
| Contestant 307 | 229.74490983 |
| Contestant 599 | 229.79306100 |
| Contestant 315 | 230.08288202 |
| Contestant 654 | 230.08488090 |
| Contestant 240 | 230.87393079 |
| Contestant 843 | 231.05655354 |
| Contestant 977 | 231.30453849 |
| Contestant 584 | 231.31665049 |
| Contestant 361 | 231.38032912 |
| Contestant 398 | 231.49366660 |
| Contestant 272 | 231.68100511 |
| Contestant 132 | 232.02508251 |
| Contestant 903 | 232.34468926 |
| Contestant 449 | 232.36041135 |
| Contestant 714 | 232.41952734 |
| Contestant 744 | 232.66595263 |
| Contestant 926 | 233.11721683 |
| Contestant 418 | 233.18145985 |
| Contestant 819 | 233.18230290 |
| Contestant 516 | 233.37928517 |
| Contestant 348 | 233.39691669 |
| Contestant 972 | 233.45474949 |
| Contestant 402 | 233.47255804 |
| Contestant 801 | 233.62493608 |
| Contestant 430 | 234.12229446 |
| Contestant 465 | 234.29765025 |
| Contestant 221 | 234.30467971 |
| Contestant 763 | 234.41121306 |
| Contestant 621 | 234.51331136 |
| Contestant 586 | 234.52653556 |
| Contestant 183 | 234.62004966 |
| Contestant 557 | 234.67661827 |
| Contestant 459 | 234.75155140 |
| Contestant 239 | 234.97644673 |
| Contestant 227 | 235.07152303 |
| Contestant 625 | 235.12267190 |
| Contestant 397 | 235.31891373 |
| Contestant 653 | 235.50915450 |
| Contestant 783 | 235.71897071 |
| Contestant 150 | 235.91684917 |
| Contestant 079 | 236.12784741 |
| Contestant 835 | 236.39354694 |
| Contestant 722 | 236.39696504 |
| Contestant 256 | 236.45290758 |
| Contestant 580 | 237.19090948 |
| Contestant 226 | 237.37204718 |
| Contestant 978 | 237.38721258 |
| Contestant 608 | 237.47840904 |
| Contestant 056 | 237.55041450 |
| Contestant 684 | 237.59809433 |
| Contestant 870 | 237.82478737 |
| Contestant 477 | 238.01763524 |
| Contestant 905 | 238.02744854 |
| Contestant 103 | 238.30814985 |
| Contestant 491 | 238.32118966 |
| Contestant 392 | 238.40892022 |
| Contestant 804 | 238.50466939 |
| Contestant 546 | 238.88700881 |
| Contestant 630 | 238.91602637 |
| Contestant 927 | 238.95273848 |
| Contestant 018 | 239.11161933 |
| Contestant 118 | 239.50291375 |
| Contestant 672 | 239.61723551 |
| Contestant 025 | 239.74114976 |
| Contestant 913 | 239.80032029 |
| Contestant 114 | 239.98096853 |
| Contestant 885 | 240.08842877 |
| Contestant 363 | 240.10264803 |
| Contestant 035 | 240.11916790 |
| Contestant 566 | 240.18205091 |
| Contestant 301 | 240.23794754 |
| Contestant 900 | 240.43620429 |
| Contestant 492 | 240.44300745 |
| Contestant 806 | 240.51315897 |
| Contestant 164 | 240.60253553 |
| Contestant 969 | 240.63482146 |
| Contestant 561 | 240.63559366 |
| Contestant 998 | 240.64176037 |
| Contestant 278 | 240.66090672 |
| Contestant 141 | 240.75056803 |
| Contestant 369 | 240.82384152 |
| Contestant 931 | 240.85303857 |
| Contestant 849 | 241.04746809 |
| Contestant 457 | 241.06339722 |
| Contestant 506 | 241.11656734 |
| Contestant 308 | 241.20726616 |
| Contestant 257 | 241.48382025 |
| Contestant 995 | 241.61190375 |
| Contestant 384 | 241.88666790 |
| Contestant 133 | 241.92202878 |
| Contestant 370 | 241.98628157 |
| Contestant 860 | 242.11559541 |
| Contestant 297 | 242.26837011 |
| Contestant 211 | 242.63662696 |
| Contestant 064 | 243.65099800 |
| Contestant 523 | 243.91032941 |
| Contestant 393 | 243.94369679 |
| Contestant 873 | 244.03139784 |
| Contestant 481 | 244.27037357 |
| Contestant 848 | 244.36822186 |
| Contestant 844 | 244.39061343 |
| Contestant 742 | 244.58581131 |
| Contestant 186 | 244.89087552 |
| Contestant 020 | 244.90885707 |
| Contestant 359 | 245.24291881 |
| Contestant 305 | 245.28580414 |
| Contestant 165 | 245.44562184 |
| Contestant 512 | 245.61001399 |
| Contestant 266 | 245.61783041 |
| Contestant 874 | 245.65118964 |
| Contestant 928 | 245.80397446 |
| Contestant 019 | 246.05771698 |
| Contestant 834 | 246.16868478 |
| Contestant 013 | 246.25175079 |
| Contestant 399 | 246.40498809 |
| Contestant 661 | 246.41098566 |
| Contestant 537 | 246.74170610 |
| Contestant 601 | 246.81803630 |
| Contestant 703 | 246.93704613 |
| Contestant 184 | 247.07044959 |
| Contestant 637 | 247.48600084 |
| Contestant 314 | 247.61735273 |
| Contestant 287 | 247.86951776 |
| Contestant 080 | 247.92692770 |
| Contestant 558 | 247.93676202 |
| Contestant 585 | 247.99431133 |
| Contestant 162 | 248.28772026 |
| Contestant 888 | 248.62184404 |
| Contestant 810 | 248.90721795 |
| Contestant 851 | 249.06652903 |
| Contestant 161 | 249.21155226 |
| Contestant 110 | 249.23047027 |
| Contestant 987 | 249.28515455 |
| Contestant 876 | 249.54312493 |
| Contestant 353 | 249.67913051 |
| Contestant 311 | 249.78092827 |
| Contestant 365 | 249.86438474 |
| Contestant 635 | 250.00738128 |
| Contestant 460 | 250.03309655 |
| Contestant 605 | 250.05882280 |
| Contestant 112 | 250.31482245 |
| Contestant 421 | 250.35981821 |
| Contestant 662 | 250.45411559 |
| Contestant 695 | 250.72141739 |
| Contestant 918 | 250.84216595 |
| Contestant 008 | 250.89141204 |
| Contestant 797 | 250.89761362 |
| Contestant 091 | 251.10260257 |
| Contestant 135 | 251.82386483 |
| Contestant 858 | 251.90450104 |
| Contestant 149 | 251.91031789 |
| Contestant 827 | 252.01568137 |
| Contestant 470 | 252.29075738 |
| Contestant 188 | 252.37125361 |
| Contestant 985 | 252.40592417 |
| Contestant 192 | 252.41971590 |
| Contestant 494 | 252.49303117 |
| Contestant 219 | 252.67920309 |
| Contestant 414 | 252.83330457 |
| Contestant 696 | 252.87840000 |
| Contestant 041 | 252.98726407 |
| Contestant 290 | 253.34864855 |
| Contestant 349 | 253.47009572 |
| Contestant 632 | 253.67734215 |
| Contestant 456 | 253.74992394 |
| Contestant 309 | 254.01669607 |
| Contestant 576 | 254.14911539 |
| Contestant 581 | 254.20053381 |
| Contestant 959 | 254.30130729 |
| Contestant 277 | 254.30810467 |
| Contestant 346 | 254.56689508 |
| Contestant 471 | 254.66650945 |
| Contestant 403 | 254.74710850 |
| Contestant 954 | 254.80743187 |
| Contestant 724 | 255.24811944 |
| Contestant 037 | 255.31493192 |
| Contestant 383 | 255.36748054 |
| Contestant 772 | 255.46087053 |
| Contestant 592 | 255.55642714 |
| Contestant 258 | 255.56679395 |
| Contestant 214 | 256.03145675 |
| Contestant 380 | 256.29038437 |
| Contestant 745 | 256.29207076 |
| Contestant 938 | 256.69171816 |
| Contestant 859 | 256.92213666 |
| Contestant 603 | 257.51219568 |
| Contestant 099 | 257.79036259 |
| Contestant 417 | 257.81294307 |
| Contestant 341 | 257.88760742 |
| Contestant 687 | 257.94308921 |
| Contestant 113 | 258.11833448 |
| Contestant 853 | 258.14258352 |
| Contestant 946 | 258.23560745 |
| Contestant 248 | 258.31642813 |
| Contestant 189 | 258.42176582 |
| Contestant 232 | 258.53377668 |
| Contestant 840 | 258.58214832 |
| Contestant 167 | 258.66982412 |
| Contestant 011 | 259.38143945 |
| Contestant 472 | 259.42315388 |
| Contestant 877 | 259.92737663 |
| Contestant 204 | 260.01155538 |
| Contestant 598 | 260.07259490 |
| Contestant 892 | 260.20722325 |
| Contestant 865 | 260.60939098 |
| Contestant 831 | 260.69300429 |
